,A0_2,A2_5,Ratio_A,fmax,mag_fmax,mean,median,st_dev,perc_25,perc_50,perc_75,mad,IQR,QD,skewness,kurtosis,shannon_entropy,spec_entropy,coeff_of_var,shape_factor,P2P,local_minima,RMS,SysPeakInd,SysPeakVal,SysCrest,SysImp,SysClear,DiaPeakInd,DiaPeakVal,DiaCrest,DiaImp,DiaClear,DyPeaks,DyValleys,DDyPeaks,DDyValleys,P2PTime,DyPeakTime,DDyPeakTime,DyValleyTime,DDyValleyTime,b1_a1,b2_a2,ta1_tpp,ta2_tpp,tb1_tpp,tb2_tpp,ta12_tpp,tb12_tpp
73,0.1515881531388793,0.0793721473261208,1.9098406461909176,0.9523809523809524,0.1274719301389997,0.2937070705917109,0.1902185185129772,0.2898936028879251,0.0739075189718028,0.1902185185129772,0.4079160092926411,0.2319826152738148,0.3346947424271293,0.1673473712135646,1.1483618966009128,0.0233638276567247,7.649692623711514,2.120703131307472,0.9870160847809926,1.405062543667149,1.0,"[0.023684836308849655, 0.023286539788401988, 0.023657485742022442, 0.23184174399331223, 0.23156026645980393, 0.025312925117811223, 0.02537749375048827, 0.09487208764893434, 0.09500838728453234, 0.0, 0.2438879994027093, 0.24380651211438348, 0.24381546701685972, 0.019030308195415967]",0.4126768036986162,[ 763 1561 1855],[0.9284782  1.         0.29497787],[2.24989189 2.4232038  0.7147915 ],[3.16123883 3.4047529  1.00432677],[4.09943148 4.41521567 1.30239093],[  74   88  303  306  311  496  981 1088 1770 1774],[  74   88  303  306  311  496  981 1088 1770 1774],"[0.05749761 0.05737501 0.56215196 0.56215187 0.56120303 0.06168599
 0.23039533 0.47457107 0.59111848 0.59098044]","[0.08078773 0.08061547 0.78985867 0.78985853 0.78852536 0.08667267
 0.32371985 0.66680203 0.83055844 0.83036448]","[0.10476392 0.10454054 1.02427297 1.0242728  1.02254396 0.1123954
 0.41979345 0.86469558 1.07705162 1.0768001 ]",1.3003018991066289,-5.156857235743529,40.222818902551005,-63.49419355077467,1.258599333015722,-0.1990948070509766,-0.5382563125297761,-0.8654121010004765,-0.7573606479275846,-3.9658922587797054,-1.5785615052143387,-0.1581875993640699,-0.4276629570747218,-0.6875993640699523,-0.6017488076311606,0.2694753577106518,-0.0858505564387917
74,0.1618554200066083,0.0664424470739512,2.436024365966853,0.9523809523809524,0.1334264223359693,0.3240651249753237,0.24940285707537,0.297085465229729,0.0812488874984357,0.24940285707537,0.4716008457187199,0.2398735002579926,0.3907239851674714,0.1953619925837357,0.984598821012238,-0.2678102361233057,7.649692623711514,1.979904053864132,0.9167461794981824,1.3566221130530465,1.0,"[0.04201514074602064, 0.04203119579617495, 0.006759652373962948, 0.9711786835328399, 0.28372479623705227, 0.2836575151615988, 0.2897201188205922, 0.0, 5.1485428100102737e-05, 0.2486262415469721, 0.01582569022720419]",0.4396339146108233,[ 773  775 1597],[0.97118091 0.97119766 1.        ],[2.20906731 2.20910542 2.27461978],[2.99686956 2.99692126 3.0857995 ],[3.82877812 3.82884417 3.94239435],[  38  283 1002 1046 1049 1252 1871],[  38  283 1002 1046 1049 1252 1871],"[9.56115435e-02 6.17192959e-01 6.45386871e-01 6.59114520e-01
 6.59066111e-01 1.70158665e-04 5.87862568e-01]","[1.29708734e-01 8.37297617e-01 8.75546101e-01 8.94169333e-01
 8.94103659e-01 2.30841007e-04 7.97507359e-01]","[1.65714908e-01 1.06972517e+00 1.11859115e+00 1.14238405e+00
 1.14230014e+00 2.94920744e-04 1.01888943e+00]",4.952152009681639,-4.154100469192289,30.80079858954721,-54.41033733990058,0.8223916150547882,-0.6443068127679848,-1.3576464983325394,-0.8754168651738924,-0.761362553596951,-0.8388475275134668,-1.766523591319015,-0.7834549878345498,-1.6508515815085154,-1.0644768856447686,-0.9257907542579076,0.8673965936739657,-0.1386861313868612
75,0.139878777008711,0.0698188753241773,2.003452166183388,0.9523809523809524,0.1314296270738844,0.2874052607972659,0.1874639943148454,0.2945842420257498,0.0492717973053473,0.1874639943148454,0.4082445524220712,0.2397228749752204,0.3599954640367853,0.1799977320183926,1.0597795146059596,-0.1375322854270915,7.649692623711514,2.0481745298265968,1.0249786006302366,1.4319850319573588,1.0,"[0.026343736031480824, 0.026338280324481364, 0.026310578887064517, 0.026288967875969568, 0.0, 0.0028633514015432688, 0.0011709289230499797]",0.4115600315674859,[ 291  912 1817],[0.36959241 1.         0.90784174],[0.89802796 2.42977919 2.20585496],[1.28596259 3.47940743 3.15875128],[1.75452896 4.74719959 4.30970592],[10 12 16],[10 12 16],[0.06403678 0.06405253 0.06394523],[0.09169971 0.09172227 0.09156862],[0.12511235 0.12514312 0.12493349],5.31856766082401,-4.610745424018413,51.57246104844303,-61.010572887265006,0.9004287756074323,-0.8023820867079563,-2.0529776083849454,-1.0174845164363984,-0.9084325869461648,-0.8669148759694573,-1.18300681501231,-0.8911111111111111,-2.28,-1.13,-1.0088888888888887,1.3888888888888886,-0.1211111111111111
76,0.1181194454784426,0.0798223854780224,1.4797784452453455,1.4285714285714284,0.1995176447449588,0.4230051166736248,0.3706133290253549,0.3097859607927412,0.1507211489640968,0.3706133290253549,0.6852114009519508,0.2687770442786837,0.5345619585959909,0.2672809792979954,0.3420307835862144,-1.1764584547711656,7.649692623711514,1.089317207024436,0.7323456586738185,1.2394878635058872,1.0,"[0.023313096096614215, 0.01257836562499421, 0.012591951966022618, 0.005785067842595728, 0.00518984671906022, 0.0]",0.5243097083178498,[ 308  922 1684],[1.         0.97850386 0.90906557],[1.90726966 1.86627072 1.73383318],[2.3640376  2.31321991 2.14906518],[2.84982618 2.7885659  2.59067885],[ 698 1383],[ 698 1383],[0.02408321 0.01105171],[0.02985085 0.01369846],[0.03598493 0.01651337],5.834400319748925,-3.356189617571885,40.13026290604663,-65.687837151551,1.3766555502620297,-0.8123868508813722,-1.4186755597903764,-1.7858504049547406,-0.3021438780371606,-0.5752415730219064,-1.6368653578308223,-0.5901162790697675,-1.0305232558139534,-1.2972383720930232,-0.2194767441860465,0.4404069767441859,-1.0777616279069768
77,0.1349889619544443,0.0933383431808729,1.4462326773131164,0.9523809523809524,0.1572320945433168,0.2832121458442187,0.1585277320511755,0.2915348695593789,0.066608043191893,0.1585277320511755,0.4059490512158934,0.2405505191850532,0.3393789417368649,0.1696894708684324,1.0906868328271622,-0.0650125546178088,7.649692623711514,1.8524931414552783,1.0293868883707342,1.4351436743230912,1.0,"[0.06662516959385054, 0.06640199165583666, 0.06641113322017932, 0.0, 0.3204608600583561, 0.04249942383514725, 0.008096927075274077, 0.00785216641594728, 0.007929042010741748, 0.008760385802115632, 0.008870250842552352, 0.008789049564546644, 0.008707304822112523, 0.008324824159503088, 0.006734010995069856, 0.0067016219389379, 0.006678619264455536, 0.11964040711660757]",0.4064501195997992,[ 795 1086 1920],[1.        0.4078148 0.9070571],[2.4603265  1.00335755 2.23165661],[3.53092201 1.43996224 3.20274786],[4.78736364 1.95235773 4.34241216],[  60   69  285 1385 1554 1568 1593 1597 1602 1609 1614 1622 1649 1651],[  60   69  285 1385 1554 1568 1593 1597 1602 1609 1614 1622 1649 1651],"[0.16400333 0.16344629 0.48145836 0.26315822 0.01995463 0.0197363
 0.0216531  0.02189997 0.02205429 0.02185692 0.02142894 0.02059585
 0.01657498 0.01651224]","[0.23536834 0.2345689  0.69096192 0.37766985 0.02863777 0.02832442
 0.03107532 0.0314296  0.03165107 0.03136783 0.03075361 0.029558
 0.02378748 0.02369744]","[0.31912171 0.31803779 0.93683349 0.51205972 0.03882822 0.03840337
 0.04213314 0.0426135  0.04291377 0.04252974 0.04169697 0.0400759
 0.032252   0.03212992]",5.344551420660292,-4.333328222123276,35.02627562939178,-59.98046889041069,1.12553596950929,-0.6763220581229158,-1.711815150071463,-0.8884230585993331,-0.7823725583611244,-0.8107936253306579,-1.712442097043254,-0.600888888888889,-1.520888888888889,-0.7893333333333334,-0.6951111111111111,0.9199999999999998,-0.0942222222222222
78,0.1367398217690986,0.0837420369289833,1.632869545376113,1.4285714285714284,0.1238622851859315,0.2867787087568675,0.193120393995831,0.2786873964855249,0.076996376984639,0.193120393995831,0.3629967925313734,0.2217859002873908,0.2860122315105068,0.1430061157552534,1.1821678150434936,0.1966254179493498,7.649692623711514,2.253463826904803,0.9717855195512352,1.3944056425622582,1.0,"[0.031292175681697884, 0.031301387407546455, 0.016414396928710218, 0.19162495945326538, 0.013180088577932311, 0.09631714661890953, 0.0]",0.3998858496572946,[ 292  867 1715],[0.36299861 1.         0.8920432 ],[0.90775557 2.50071364 2.23074459],[1.26577949 3.48700921 3.11056284],[1.61660357 4.45347042 3.97268799],[  47 1165 2007],[  47 1165 2007],[0.07829837 0.62788215 0.31713261],[0.10917969 0.87552241 0.4422115 ],[0.13943998 1.11818264 0.56477507],5.078364947416932,-5.055976748506804,34.405304023195214,-63.029333789848856,0.8203906622201048,-0.7603620771796095,-1.0515007146260125,-0.9654597427346356,-0.8634111481657933,-0.9955914552928072,-1.8319656105162163,-0.9268292682926832,-1.2817073170731708,-1.176829268292683,-1.052439024390244,0.3548780487804877,-0.124390243902439
79,0.1433282966787425,0.0894788478078418,1.601812050447316,1.4285714285714284,0.1475196563272465,0.3462368343088022,0.2706881154546163,0.2902730408281681,0.1186861166185555,0.2706881154546163,0.5145045895454589,0.2359855039818826,0.3960585699913293,0.1980292849956646,0.8732707050554465,-0.3149960808292662,7.649692623711514,2.10055375132592,0.8383655696472748,1.3049355648345249,1.0,"[0.02446131406158016, 0.02453407802801915, 0.013859200800443566, 0.26841833647885455, 0.3618536082483663, 0.0002949880317907038, 0.0, 0.1554701751342467, 0.00858569625100464]",0.4518167589452745,[ 297  861 1152 1156 1660],[0.55224411 1.         0.36204468 0.36189936 0.99989298],[1.22227452 2.21328665 0.80130866 0.80098702 2.21304977],[1.59498949 2.88819646 1.04565617 1.04523645 2.88788736],[1.97054208 3.56824462 1.29186399 1.29134544 3.56786273],[  56 1338 1958],[  56 1338 1958],[0.0543095  0.00067554 0.47749763],[0.0708704  0.00088154 0.62310365],[0.08755738 0.00108911 0.76981821],3.2011764749802154,-4.643268486214354,37.07992284552765,-41.81849147432027,0.805383515959981,-0.1920914721295855,-1.4016674606955697,-0.9554549785612196,-0.2941400666984278,-1.4504881322555174,-1.127793378873337,-0.2385093167701863,-1.7403726708074534,-1.186335403726708,-0.3652173913043478,1.501863354037267,-0.8211180124223603
80,0.1082156298479978,0.0923185232655636,1.1721984496730362,1.4285714285714284,0.1199469316397706,0.2512255946063805,0.143647840970163,0.2454716020750897,0.0850683452453257,0.143647840970163,0.3941053191282644,0.1959601574714028,0.3096435609453022,0.1548217804726511,1.369294292781562,1.2122221926684356,7.649692623711514,2.420063742198431,0.9770963124187002,1.39811201401827,1.0,"[0.0072243334963189255, 0.007229310242255387, 0.08897574451660242, 0.002360168032347854, 0.07288253721097421, 0.0, 0.09459686324362492, 0.014721363665644308]",0.351241522048064,[ 293  891 1573],[1.         0.55184011 0.54699443],[2.84704381 1.57111296 1.55731709],[3.98048615 2.1965919  2.17730374],[5.11088234 2.82038986 2.79562415],[  36  590 1184 1886],[  36  590 1184 1886],[0.02060459 0.63111086 0.41234906 0.41511876],[0.02880753 0.88236368 0.57651018 0.58038252],[0.03698842 1.13294125 0.74023011 0.74520214],5.874134671454811,-5.772849881800789,27.59705244190812,-72.97474163845521,1.2806098141972369,-0.1850881372081944,-1.363649356836589,-0.3871843735111958,-0.2861362553596951,-0.9827574961557808,-2.644294777207358,-0.14453125,-1.06484375,-0.30234375,-0.2234375,0.9203125000000002,-0.07890625
81,0.1499902794477674,0.0638715303300455,2.348311973624517,1.4285714285714284,0.1254328479498018,0.2713189829516556,0.1593243595676695,0.2903087771089199,0.0509319114296286,0.1593243595676695,0.4076809940231915,0.2361200883680562,0.3569494873703351,0.1784747436851675,1.1520600197781692,0.0150118369406753,7.649692623711514,2.065677423735029,1.0699906580463925,1.4645408865260647,1.0,"[0.06336517732388572, 0.06324474704275437, 0.06326365642195174, 0.012809127947058803, 0.017292611025817903, 0.017341535397672345, 0.01735819912422566, 0.01735926484665256, 0.017379836778617756, 0.017388167633411153, 0.01739452578231029, 0.017434414218294208, 0.003798934285025462, 0.0037926660176129112, 0.0]",0.3973577438233679,[ 926 1780],[1.         0.85173209],[2.51662391 2.14348934],[3.68569862 3.13922778],[5.06096163 4.31058343],[  23   35  280  593  597  599  602  604  607  609  612 1427],[  23   35  280  593  597  599  602  604  607  609  612 1427],"[0.15947329 0.15924406 0.53305696 0.04353132 0.04365495 0.04371935
 0.04370032 0.04377717 0.04377247 0.04378312 0.04388382 0.00956545]","[0.23355515 0.23321943 0.78068371 0.0637534  0.06393446 0.06402878
 0.0640009  0.06411345 0.06410657 0.06412216 0.06426965 0.014009  ]","[0.32070274 0.32024175 1.0719841  0.08754203 0.08779064 0.08792016
 0.08788188 0.08803643 0.08802697 0.08804839 0.0882509  0.01923624]",5.380232442488324,-4.4194284509196375,37.40741141411429,-59.31709704986473,0.9034302048594568,-0.8083849452120058,-1.9859456884230589,-1.031491186279181,-0.9184373511195808,-0.8214196130298935,-1.5857044047555675,-0.8947951273532669,-2.198228128460687,-1.1417497231450722,-1.0166112956810631,1.30343300110742,-0.1251384274640089
82,0.1363600116487561,0.0825014612239187,1.6528193516313476,1.4285714285714284,0.1693670856114494,0.325257640704701,0.1886389658209767,0.2985963289084823,0.0850249947410976,0.1886389658209767,0.5223764978735682,0.2512279554636162,0.4375951490343025,0.2187975745171512,0.9373079597695526,-0.3820968801034148,7.649692623711514,1.7848144142460527,0.9180301752836476,1.3574901114672346,1.0,"[0.02559364927941128, 0.025499237929127037, 0.025508863785487938, 0.010895706062804048, 0.16817764120066422, 0.0, 0.15468185601326145, 0.012973894500474037]",0.4415340309357943,[ 289  883 1639],[0.56886595 1.         0.98509461],[1.28838528 2.26483109 2.2310729 ],[1.74897028 3.07448581 3.0286594 ],[2.23096738 3.92178051 3.86332485],[  18   24 1170 1946],[  18   24 1170 1946],[0.05802862 0.05778269 0.41950913 0.44357117],[0.07877327 0.07843944 0.5694795  0.60214348],[0.10048233 0.10005649 0.72642183 0.76808764],5.465975864058652,-5.1200657412808726,37.24168424559106,-65.80984612052094,0.8654121010004765,-0.7783706526917581,-1.4006669842782278,-0.9834683182467844,-0.8804192472606004,-0.9367157610313832,-1.76710176925771,-0.8994219653179191,-1.6184971098265897,-1.1364161849710983,-1.0173410404624277,0.7190751445086704,-0.1190751445086704
